Agreement_Num_Region-Co-Dist-Type Code,Sit_Num,Site Name,Site Address,Site City,Site Zip,Site Count,Free Eligibles,Reduced Eligibles,Enrollment,Participates in CEP,CEP Num identified students,Cep Enrollment,PC of Free And Reduced-Priced Eligibility,PC of Free Eligibility,RCDTS
15-016-2990-AF,72005,Noble St Chtr-The Noble Academy,17 N State St,Chicago,60602-3315,Cook,262,32,346,,0,0,0.849710983,0,15016299025041C
15-016-2990-AF,60924,Noble St Chtr-UIC College Prep,1231 S Damen Ave,Chicago,60608-1145,Cook,621,150,906,,0,0,0.850993378,0,15016299025033C
15-016-2990-AF,74658,Noble Street Chtr School - Mansueto High School,5101 S Keeler Ave,Chicago,60632-4205,Cook,146,21,180,,0,0,0.927777778,0,15016299025044C
15-016-2990-25,50835,North River Elem School,4416 N Troy St,Chicago,60625-4520,Cook,331,0,331,X,288,359,1,0.802228412,1.50163E+14
15-016-2990-25,52766,North-Grand High School,4338 W Wabansia Ave,Chicago,60639-4837,Cook,973,0,973,X,674,915,1,0.736612022,1.50163E+14
15-016-2990-25,42521,Northside College Preparatory Hs,5501 N Kedzie Ave,Chicago,60625-3923,Cook,1071,0,1071,X,280,1040,0.430769231,0.269230769,1.50163E+14
15-016-2990-25,12426,Northside Learning Center,3730 W Bryn Mawr Ave,Chicago,60659-3134,Cook,230,0,230,X,168,258,1,0.651162791,1.50163E+14
15-016-2990-25,42516,Northwest Middle School,5252 W Palmer St,Chicago,60639-3047,Cook,497,0,497,X,433,583,1,0.74271012,1.50163E+14
15-016-2990-25,12169,Norwood Park Elem School,5900 N Nina Ave,Chicago,60631-2408,Cook,413,0,413,X,79,377,0.335278515,0.209549072,1.50163E+14
15-016-2990-25,12170,Ogden Elem School,24 W Walton St,Chicago,60610-3304,Cook,1558,0,1558,X,407,1611,0.404220981,0.252638113,1.50163E+14
15-016-2990-25,12171,Oglesby Elem School,7646 S Green St,Chicago,60620-2854,Cook,466,0,466,X,405,484,1,0.83677686,1.50163E+14
15-016-2990-25,12172,OKeeffe Elem School,6940 S Merrill Ave,Chicago,60649-1721,Cook,660,0,660,X,586,694,1,0.844380404,1.50163E+14
15-016-2990-25,12173,Onahan Elem School,6634 W Raven St,Chicago,60631-2503,Cook,642,0,642,X,206,645,0.511007752,0.319379845,1.50163E+14
15-016-2990-25,12174,Oriole Park Elem School,5424 N Oketo Ave,Chicago,60656-1747,Cook,735,0,735,X,140,679,0.329896907,0.206185567,1.50163E+14
15-016-2990-25,12370,Orozco Elem Fine Arts & Sciences,1940 W 18th St,Chicago,60608-1903,Cook,569,0,569,X,466,598,1,0.779264214,1.50163E+14
15-016-2990-25,11862,Orr Academy High School,730 N Pulaski Rd,Chicago,60624-1063,Cook,396,0,396,X,294,382,1,0.769633508,1.50163E+14
15-016-2990-25,12412,Ortiz De Dominguez Elem School,3000 S Lawndale Ave,Chicago,60623-4524,Cook,596,0,596,X,629,736,1,0.854619565,1.50163E+14
15-016-2990-25,12176,Otis Elem School,525 N Armour St,Chicago,60642-6105,Cook,497,0,497,X,482,596,1,0.808724832,1.50163E+14
15-016-2990-25,12177,OToole Elem School,6550 S Seeley Ave,Chicago,60636-2500,Cook,403,0,403,X,383,460,1,0.832608696,1.50163E+14
15-016-2990-25,12179,Owen Elem Scholastic Academy,8247 S Christiana Ave,Chicago,60652-3300,Cook,265,0,265,X,113,246,0.73495935,0.459349594,1.50163E+14
15-016-2990-25,12049,Owens Community Academy ES,12302 S State St,Chicago,60628-6811,Cook,453,0,453,X,405,503,1,0.805168986,1.50163E+14
15-016-2990-25,12181,Palmer Elem School,5051 N Kenneth Ave,Chicago,60630-2620,Cook,840,0,840,X,602,884,1,0.680995475,1.50163E+14
15-016-2990-25,12184,Park Manor Elem School,7037 S Rhodes Ave,Chicago,60637-4617,Cook,330,0,330,X,308,379,1,0.812664908,1.50163E+14
15-016-2990-25,12182,Parker Elem Community Academy,6800 S Stewart Ave,Chicago,60621-2441,Cook,577,0,577,X,650,754,1,0.862068966,1.50163E+14
15-016-2990-25,12185,Parkside Elem Community Academy,6938 S East End Ave,Chicago,60649-1422,Cook,252,0,252,X,254,300,1,0.846666667,1.50163E+14
15-016-2990-25,12186,Pasteur Elem School,5825 S Kostner Ave,Chicago,60629-5238,Cook,1270,0,1270,X,925,1239,1,0.746569814,1.50163E+14
15-016-2990-25,45022,Payton College Preparatory HS,1034 N Wells St,Chicago,60610-2513,Cook,981,0,981,X,211,894,0.377628635,0.236017897,1.50163E+14
15-016-2990-25,62768,Peace and Education Coalition HS,4946 S Paulina St,Chicago,60609-4833,Cook,125,0,125,X,101,125,1,0.808,1.50163E+14
15-016-2990-25,12188,Peck Elem School,3826 W 58th St,Chicago,60629-3849,Cook,1665,0,1665,X,1259,1634,1,0.770501836,1.50163E+14
15-016-2990-25,12189,Peirce Elem Intl Studies School,1423 W Bryn Mawr Ave,Chicago,60660-4224,Cook,1036,0,1036,X,582,1014,0.918343195,0.573964497,1.50163E+14
15-016-2990-25,12190,Penn Elem School,1616 S Avers Ave,Chicago,60623-2401,Cook,366,0,366,X,325,393,1,0.82697201,1.50163E+14
15-016-2990-25,12387,Perez Elem School,1241 W 19th St,Chicago,60608-3200,Cook,319,0,319,X,295,341,1,0.865102639,1.50163E+14
15-016-2990-25,12192,Pershing Elem Humanities Magnet,3200 S Calumet Ave,Chicago,60616-4866,Cook,630,0,630,X,325,519,1,0.626204239,1.50163E+14
15-016-2990-AJ,60914,Perspectives Chtr -  IIT Campus,3663 S Wabash Ave,Chicago,60653-1032,Cook,465,0,465,X,362,543,1,0.666666667,
15-016-2990-AJ,59056,Perspectives Chtr - High School of Technology,8131 S May St Fl 2,Chicago,60620-3007,Cook,375,0,375,X,311,421,1,0.73871734,15016299025053C
15-016-2990-AJ,15145,Perspectives Chtr - Joslin Campus,1930 S Archer Ave,Chicago,60616-6505,Cook,397,0,397,X,197,375,0.840533333,0.525333333,15016299025050C
15-016-2990-AJ,59054,Perspectives Chtr - Leadership Acad,8131 S May St Fl 3,Chicago,60620-3007,Cook,347,0,347,X,275,387,1,0.710594315,15016299025051C
15-016-2990-25,12193,Peterson Elem School,5510 N Christiana Ave,Chicago,60625-4606,Cook,880,0,880,X,560,899,0.996662959,0.622914349,1.50163E+14
15-016-2990-25,11863,Phillips Academy High School,244 E Pershing Rd,Chicago,60653-2222,Cook,589,0,589,X,438,555,1,0.789189189,1.50163E+14
15-016-2990-25,54808,Phoenix Military Academy HS,145 S Campbell Ave,Chicago,60612-2923,Cook,543,0,543,X,352,478,1,0.736401674,1.50163E+14
15-016-2990-25,12175,Piccolo Elem Specialty School,1040 N Keeler Ave,Chicago,60651-3514,Cook,604,0,604,X,462,540,1,0.855555556,1.50163E+14
15-016-2990-25,12194,Pickard Elem School,2301 W 21st Pl,Chicago,60608-3809,Cook,475,0,475,X,493,566,1,0.871024735,1.50163E+14
15-016-2990-25,12100,Pilsen Elem Community Academy,1420 W 17th St,Chicago,60608-2121,Cook,363,0,363,X,360,440,1,0.818181818,1.50163E+14
15-016-2990-25,12195,Pirie Elem Fine Arts & Academic C,650 E 85th St,Chicago,60619-6112,Cook,292,0,292,X,241,334,1,0.721556886,1.50163E+14
15-016-2990-25,12196,Plamondon Elem School,2642 W 15th Pl,Chicago,60608-1703,Cook,146,0,146,X,130,147,1,0.884353742,1.50163E+14
15-016-2990-25,12352,Poe Elem Classical School,10538 S Langley Ave,Chicago,60628-3092,Cook,214,0,214,X,79,199,0.635175879,0.396984925,1.50163E+14
