RCDTS,School Name,City,SAT Reading Total Students Level 1 PC,SAT Reading Total Students Level 2 PC,SAT Reading Total Students Level 3 PC,SAT Reading Total Students Level 4 PC,SAT Math Total Students Level 1 PC,SAT Math Total Students Level 2 PC,SAT Math Total Students Level 3 PC,SAT Math Total Students Level 4 PC,SAT Reading Total Low Income Students Level 1 PC,SAT Reading Total Low Income Students Level 2 PC,SAT Reading Total Low Income Students Level 3 PC,SAT Reading Total Low Income Students Level 4 PC,SAT Math Total Low Income Students Level 1 PC,SAT Math Total Low Income Students Level 2 PC,SAT Math Total Low Income Students Level 3 PC,SAT Math Total Low Income Students Level 4 PC,Total Students SAT Math Participation PC,Low Income Students SAT Math Participation PC,Total Students SAT ELA Participation PC,Low Income Students SAT ELA Participation PC
3.03E+13,Brownstown High School,Brownstown,42.1,47.4,10.5,0,63.2,31.6,5.3,0,50,40,10,0,40,50,10,0,100,100,100,100
3.03E+13,Brownstown Jr High School,Brownstown,,,,,,,,,,,,,,,,,,,,
3.03E+13,Brownstown Elem School,Brownstown,,,,,,,,,,,,,,,,,,,,
3.03E+13,,Saint Elmo,42.3,30.8,26.9,0,38.5,53.8,7.7,0,58.3,8.3,33.3,0,50,41.7,8.3,0,100,100,100,100
3.03E+13,St Elmo Sr High School,Saint Elmo,42.3,30.8,26.9,0,38.5,53.8,7.7,0,58.3,8.3,33.3,0,50,41.7,8.3,0,100,100,100,100
3.03E+13,St Elmo Jr High School,Saint Elmo,,,,,,,,,,,,,,,,,,,,
3.03E+13,St Elmo Elem School,Saint Elmo,,,,,,,,,,,,,,,,,,,,
3.03E+13,,Vandalia,40.6,38.5,13.5,7.3,44.8,38.5,13.5,3.1,60,20,13.3,6.7,46.7,40,13.3,0,99,100,99,100
3.03E+13,Vandalia Community High School,Vandalia,40,38.9,13.7,7.4,45.3,37.9,13.7,3.2,60,20,13.3,6.7,46.7,40,13.3,0,99,100,99,100
3.03E+13,Vandalia Elementary School,Vandalia,,,,,,,,,,,,,,,,,,,,
3.03E+13,Vandalia Junior High School,Vandalia,,,,,,,,,,,,,,,,,,,,
